Created,GPS,DC Latitude,Model,POST ID
2021:01:06 00:17:28,"38 deg 53' 44.88"" N, 77 deg 1' 52.32"" W",TRUE,iPhone XS Max,8dQ1t0NGI7M0
2021:01:06 22:26:00,"38 deg 53' 26.16"" N, 77 deg 0' 37.08"" W",TRUE,iPhone XS Max,8fGidwR3eLor
2021:01:06 19:38:18,"38 deg 53' 23.28"" N, 77 deg 0' 29.52"" W",TRUE,iPhone SE (2nd generation),8fsC1EfPO70k
2021:01:06 21:39:16,"38 deg 53' 23.28"" N, 77 deg 0' 36.00"" W",TRUE,iPhone XS,8ONiSixYGejX
2021:01:06 19:35:51,"38 deg 53' 22.92"" N, 77 deg 0' 29.88"" W",TRUE,iPhone XS Max,8rCpNjS3g3Ok
2021:01:06 22:39:30,"38 deg 53' 25.80"" N, 77 deg 0' 43.56"" W",TRUE,iPhone XS Max,8vAuY7nxkr6M
2021:01:06 19:25:51,"38 deg 53' 22.20"" N, 77 deg 0' 52.92"" W",TRUE,iPhone 11,8VMk101M62ol
2021:01:06 19:54:28,"38 deg 53' 23.28"" N, 77 deg 0' 30.24"" W",TRUE,iPhone 11,8wCMdWEW39Ff
2021:01:06 19:29:52,"38 deg 53' 25.44"" N, 77 deg 0' 39.60"" W",TRUE,iPhone 8 Plus,8wZMDTyKo5Tm
2021:01:06 17:07:48,"38 deg 53' 31.92"" N, 77 deg 2' 6.72"" W",TRUE,iPhone 11,8YA6CeYMxHh4
2021:01:06 22:10:57,"38 deg 53' 22.92"" N, 77 deg 0' 37.08"" W",TRUE,null,8ziKp2FKa3Sb
2021:01:06 13:03:23,"38 deg 53' 30.84"" N, 77 deg 2' 12.48"" W",TRUE,iPhone 11 Pro Max,91Vga2rHrrID
2021:01:06 20:10:22,"38 deg 53' 23.64"" N, 77 deg 0' 37.08"" W",TRUE,iPhone 12 Pro Max,92T2a5WhOOdi
2021:01:06 15:37:19,"38 deg 53' 28.32"" N, 77 deg 2' 14.28"" W",TRUE,iPhone XS Max,97U9MwaEtdVz
2021:01:06 21:13:55,"38 deg 53' 22.56"" N, 77 deg 0' 37.08"" W",TRUE,null,99Z6yIaTknNG
2021:01:06 19:45:42,"38 deg 53' 22.92"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 11,9bJLFfPeZlk8
2021:01:06 17:08:17,"38 deg 53' 29.76"" N, 77 deg 2' 7.08"" W",TRUE,iPhone 7,9H6cOk9iVoHA
2021:01:06 20:51:41,"38 deg 53' 23.64"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 12 Pro Max,9HgjVjxIB1F0
2021:01:06 20:17:40,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 12 Pro Max,9iAT30LM1MKX
